"","School.Year","Borough","Geographical.District.Code","Register","X..Schools","Major.N","Oth.N","NoCrim.N","Prop.N","Vio.N"
"395","2013-14","M",1,"631",1,"0","2","2","2","0"
"396","2013-14","M",1,"1,725",1,"0","3","4","2","1"
"397","2013-14","M",1,"1,196",3,"0","7","10","3","4"
"398","2013-14","M",6,"816",1,"1","0","0","1","0"
"399","2013-14","M",5,"832",3,"0","1","2","1","0"
"400","2013-14","M",2,"576",1,"0","0","0","0","0"
"401","2013-14","M",1,"393",1,"0","0","1","0","0"
"402","2013-14","M",5,"528",1,"0","2","3","2","0"
"403","2013-14","M",2,"972",2,"1","1","2","2","0"
"404","2013-14","M",2,"791",1,"0","0","0","0","0"
"405","2013-14","M",2,"792",1,"0","0","0","0","0"
"406","2013-14","M",2,"771",1,"0","5","3","2","2"
"407","2013-14","M",5,"931",4,"2","12","14","4","3"
"408","2013-14","M",3,"1,207",3,"0","3","1","1","1"
"409","2013-14","M",4,"311",2,"1","7","4","1","5"
"410","2013-14","M",5,"843",1,"1","3","1","4","0"
"411","2013-14","M",2,"398",2,"0","0","2","0","0"
"412","2013-14","M",6,"624",1,"0","0","0","0","0"
"413","2013-14","M",4,"304",2,"1","3","2","4","0"
"414","2013-14","M",6,"756",2,"0","1","2","0","1"
"415","2013-14","M",3,"815",1,"1","4","1","4","1"
"416","2013-14","M",1,"586",4,"4","15","9","14","5"
"417","2013-14","M",4,"843",1,"1","1","1","2","0"
"418","2013-14","M",2,"240",1,"2","6","23","1","6"
"419","2013-14","M",1,"649",1,"1","4","0","3","1"
"420","2013-14","M",1,"534",2,"1","1","0","1","1"
"421","2013-14","M",1,"479",2,"0","0","2","0","0"
"422","2013-14","M",1,"668",1,"1","0","0","0","1"
"423","2013-14","M",1,"982",3,"1","3","0","4","0"
"424","2013-14","M",2,"1,634",3,"1","4","1","5","0"
"425","2013-14","M",4,"499",1,"0","0","0","0","0"
"426","2014-15","Q",26,"561",1,"0","0","0","0","0"
"427","2013-14","M",3,"797",2,"2","2","2","2","2"
"428","2013-14","M",3,"498",1,"1","1","1","2","0"
"429","2013-14","M",5,"254",1,"0","3","4","1","2"
"430","2013-14","M",4,"836",2,"3","0","1","2","1"
"431","2013-14","M",1,"560",1,"0","0","0","0","0"
"432","2013-14","M",3,"712",2,"0","2","0","1","1"
"433","2013-14","M",3,"900",1,"0","0","0","0","0"
"434","2013-14","M",3,"960",2,"3","4","11","3","3"
"435","2013-14","M",2,"765",2,"0","0","0","0","0"
"436","2013-14","M",6,"1,087",3,"0","1","3","1","0"
"437","2013-14","M",5,"262",2,"1","1","0","2","0"
"438","2013-14","M",6,"468",1,"0","1","0","1","0"
"439","2013-14","M",4,"506",1,"0","3","2","1","2"
"440","2013-14","M",6,"602",1,"0","0","0","0","0"
"441","2013-14","M",4,"283",2,"0","2","2","1","1"
"442","2013-14","M",4,"205",4,"2","5","5","6","1"
"443","2013-14","M",2,"747",1,"0","0","0","0","0"
"444","2013-14","M",4,"331",1,"0","5","1","4","1"
"445","2013-14","M",4,"317",1,"0","0","0","0","0"
"446","2013-14","M",2,"1,034",1,"1","3","3","2","2"
"447","2013-14","M",4,"351",1,"0","2","1","0","1"
"448","2013-14","M",4,"676",1,"0","2","2","1","1"
"449","2013-14","M",1,"416",1,"0","0","0","0","0"
"450","2013-14","M",2,"533",1,"1","1","0","2","0"
"451","2013-14","M",4,"361",1,"0","1","1","0","1"
"452","2013-14","M",2,"999",1,"0","0","0","0","0"
"453","2013-14","M",3,"99",3,"2","0","1","1","1"
"454","2013-14","M",2,"443",1,"0","0","0","0","0"
"455","2013-14","M",6,"588",1,"0","1","0","1","0"
"456","2013-14","M",2,"724",1,"0","0","1","0","0"
"457","2013-14","M",4,"1,110",3,"1","5","7","2","3"
"458","2013-14","M",3,"1,188",3,"2","2","6","1","3"
"459","2013-14","M",3,"2,730",1,"2","2","5","4","0"
"460","2013-14","M",5,"602",2,"2","4","5","2","3"
"461","2013-14","M",2,"866",1,"0","0","0","0","0"
"462","2013-14","M",5,"857",3,"0","0","1","0","0"
"463","2013-14","M",2,"841",2,"0","0","1","0","0"
"464","2013-14","M",6,"722",2,"0","0","1","0","0"
"465","2013-14","M",5,"562",1,"1","1","3","0","2"
